nombre;direccion;ciudad;horario;telefono;sector;coordenadas
Andino;Carrera 11 No. 82 - 71;Bogotá;;621 3111;Nororiente;[4.667104699999999, -74.05174559999999]
Santa Barbara;Carrera Séptima No. 115 - 60;Bogotá;;612 0388;Nororiente;[4.6923278, -74.0321352]
Santa Fe; Calle 183 No. 45 - 03;Bogotá;Domingo a viernes de 11:00 a.m. a 8:00 p.m. Sábados de 11:00 a.m. a 9:00 p.m.;671 2464;Nororiente;[4.7617897, -74.0463444]
Avenida Chile;Avenida Chile Cl 72 No.10-34;Bogotá;Lunes a sábado de 8:30 a.m. a 9:00 p.m. Domingos y festivos de: 9:00 a.m. a 9:00 p.m.;312 0770;Suroccidente;[4.6406892, -74.1351865]
Atlantis;Calle 81 Carrera 14;Bogotá;Lunes a sábado de 10:30 a.m. a 9:00 p.m. Domingos y festivos de: 9:00 a.m. a 9:00 p.m.;6066200;Nororiente;[4.6667724, -74.0559561]
Unilago;Carrera 15 No. 78-33;Bogotá;Lunes a sábado de 8:30 a.m. a 9:00 p.m.;6106460;Nororiente;[4.6652859, -74.05819389999999]
Centro 93;Carrera 15 con Calle 93;Bogotá;Lunes a sábado de 9:00 a.m. a 8:00 p.m.;2570103;Nororiente;[4.676745299999999, -74.0519541]
Iserra 100;Calle 100 Av Suba;Bogotá;Domingo a Domingo de 9:00 a.m. a 9:00 p.m.;533 7240;Nororiente;[4.6889075, -74.0653313]
Unicentro ;Av. 15 No. 124-30;Bogotá;Domingo a Domingo de 8:00 a.m. a 10:00 p.m.;2138800;Nororiente;[4.7022765, -74.04196929999999]
Bulevar;Av Carrrera 58 # 127 - 59;Bogotá;Domingo a Domingo de 9:00 a.m. a 9:00 p.m.;226 7211;Nororiente;[4.7121946, -74.07161529999999]
Portoalegre;Carrera 52 No. 125A-59;Bogotá;Domingo a Domingo de 9:00 a.m. a 9:00 p.m.;624 63 54;Nororiente;[4.7082666, -74.0677135]
Cedritos ;Diagonal 151 No. 32-19;Bogotá;Domingo a Domingo de 9:00 a.m. a 8:00 p.m.;614 20 10;Nororiente;[4.732167, -74.0424999]
Palatino;Calle 140 con Carrera 7;Bogotá;Domingo a Domingo de 9:00 a.m. a 9:00 p.m;6143718;Nororiente;[4.7161849, -74.0286632]
Mazurén;Autopista Norte No. 150-46;Bogotá;Domingo a Domingo de 8:00 a.m. a 9:00 p.m.;274 23 87;Nororiente;[4.732956600000001, -74.0489848]
Santa Ana;Avenida 110 No. 9 - 70;Bogotá;Lunes a Domingo de 10:00 am a 9:00 pm; 6378566;Nororiente;[4.6909401, -74.0368281]
Gran Estación;Calle 26 No. 62-49;Bogotá;Lunes a sábado de 8:30 a.m. a 9:00 p.m. Domingos y festivos de: 9:00 a.m. a 9:00 p.m.;579 0906;Suroccidente;[4.647653399999999, -74.101721]
Salitre Plaza;Carrera 68B No. 40-39;Bogotá;Domingo a Domingo de 9:00 a.m. a 10:00 p.m.;4 2310 10;Noroccidente;[4.653143399999999, -74.1093285]
Metrópolis ;Avenida Cr 68 No. 75A-50;Bogotá;Domingo a Domingo de 10:00 a.m. a 10:00 p.m.;6602944 ;Nororiente;[4.6804792, -74.0823131]
Portal de la 80;Transversal 100 A No. 80 A-20;Bogotá;Domingo a Domingo de 9:00 a.m. a 10:00 p.m.;4339944 ;Noroccidente;[4.709607999999999, -74.1112871]
Galerías;Calle 54 No. 26-41;Bogotá;Domingo a Domingo de 9:00 a.m. a 10:00 p.m.;3470419;Suroccidente;[4.646049, -74.099564]
Plaza de las Americas;Transv. 71D No. 26-94 Sur;Bogotá;Domingo a Domingo de 9:00 a.m. a 10:00 p.m.;446 75 75;Suroccidente;[4.6243611, -74.1366879]
Ciudad Tunal;Transv Calle 47B Sur No. 24B-33;Bogotá;Domingo a Domingo de 10:00 a.m. a 8:00 p.m.;2057104;Suroccidente;[4.5779008, -74.1302354]
Metro Recreo;Carrera 97 C 69 A 08 Sur;Bogotá;Lunes a Domingo de 10:00 a.m. a 8:00 p.m.;;Suroccidente;[4.6329351, -74.20093109999999]
Centro Mayor;Av. NQS con Calle 38A Sur;Bogotá;Domingo a Domingo de 9:00 a.m. a 9:00 p.m.;7342971 ;Suroccidente;[4.5935622, -74.12429399999999]
